Employee_ID,First_Name,Last_Name,age_clean,age_missing_flag,department_clean,region_clean,status_clean,join_date,salary,Email,phone_digits,phone_valid,phone_clean,performance_score_clean,remote_work,is_active_employee,tenure_days,tenure_years,salary_band
EMP1182,Alice,Miller,30,false,HR,New York,Active,,67886.37,alice.miller@example.com,3910257431,true,3910257431,Poor,false,true,,,50K–74K
EMP1222,Alice,Miller,35,false,Cloud Tech,California,Active,,95997.31,alice.miller@example.com,4209548148,true,4209548148,Average,false,true,,,75K–99K
EMP1309,Alice,Miller,30,false,Sales,California,Active,,114147.79,alice.miller@example.com,3135030586,true,3135030586,Excellent,false,true,,,100K–124K
EMP1431,Alice,Miller,40,false,DevOps,New York,Active,,68269.37,alice.miller@example.com,7744197545,true,7744197545,Excellent,false,true,,,50K–74K
EMP1161,Alice,Smith,30,false,HR,Texas,Active,,79467.24,alice.smith@example.com,7430271692,true,7430271692,Poor,false,true,,,75K–99K
EMP1300,Alice,Smith,30,false,Sales,Texas,Active,,74117.02,alice.smith@example.com,3036625435,true,3036625435,Poor,false,true,,,50K–74K
EMP1377,Alice,Smith,35,false,Cloud Tech,Florida,Active,,107065.12,alice.smith@example.com,1849196654,true,1849196654,Average,false,true,,,100K–124K
EMP1492,Alice,Smith,30,false,Admin,New York,Active,,52314.97,alice.smith@example.com,5999101575,true,5999101575,Excellent,false,true,,,50K–74K
EMP1498,Alice,Smith,40,false,Admin,Nevada,Active,,106060.54,alice.smith@example.com,4214477323,true,4214477323,Poor,false,true,,,100K–124K
EMP1630,Alice,Smith,30,false,Finance,Nevada,Active,,56376.2,alice.smith@example.com,1312840332,true,1312840332,Average,true,true,,,50K–74K
EMP1177,Alice,Williams,25,false,DevOps,Illinois,Active,,79388.27,alice.williams@example.com,5063731494,true,5063731494,Average,true,true,,,75K–99K
EMP1183,Alice,Williams,40,false,DevOps,Florida,Active,,76614.52,alice.williams@example.com,6303975244,true,6303975244,Good,true,true,,,75K–99K
EMP1285,Alice,Williams,35,false,Sales,Illinois,Active,,69919.32,alice.williams@example.com,2939087883,true,2939087883,Average,true,true,,,50K–74K
EMP1423,Alice,Williams,30,false,Admin,Illinois,Active,,54824.85,alice.williams@example.com,9406260786,true,9406260786,Average,false,true,,,50K–74K
EMP1716,Alice,Williams,,true,Admin,California,Active,,118907.61,alice.williams@example.com,4546553584,true,4546553584,Excellent,true,true,,,100K–124K
EMP1744,Alice,Williams,,true,HR,New York,Active,,112802.27,alice.williams@example.com,63140351,false,,Excellent,false,true,,,100K–124K
EMP1001,Bob,Brown,,true,Finance,Texas,Active,,65304.66,bob.brown@example.com,1898471390,true,1898471390,Excellent,true,true,,,50K–74K
EMP1370,Bob,Brown,,true,Cloud Tech,Illinois,Active,,72818.94,bob.brown@example.com,3461994236,true,3461994236,Good,true,true,,,50K–74K
EMP1888,Bob,Brown,30,false,DevOps,Florida,Active,,112395.56,bob.brown@example.com,7894896339,true,7894896339,Good,false,true,,,100K–124K
EMP1000,Bob,Davis,25,false,DevOps,California,Active,,59767.65,bob.davis@example.com,1651623197,true,1651623197,Average,true,true,,,50K–74K
EMP1041,Bob,Davis,30,false,HR,California,Active,,108362.15,bob.davis@example.com,8186617944,true,8186617944,Excellent,false,true,,,100K–124K
EMP1170,Bob,Garcia,35,false,Admin,Illinois,Active,,116963.72,bob.garcia@example.com,9124186209,true,9124186209,Average,true,true,,,100K–124K
EMP1607,Bob,Garcia,,true,HR,Florida,Active,,78408.95,bob.garcia@example.com,4085721695,true,4085721695,Excellent,true,true,,,75K–99K
EMP1733,Bob,Garcia,25,false,DevOps,Texas,Active,,114871.08,bob.garcia@example.com,4415298216,true,4415298216,Average,false,true,,,100K–124K
EMP1806,Bob,Garcia,40,false,Sales,New York,Active,,106164.53,bob.garcia@example.com,7563353573,true,7563353573,Good,false,true,,,100K–124K
EMP1578,Bob,Johnson,30,false,DevOps,Nevada,Active,,97978.36,bob.johnson@example.com,5580996131,true,5580996131,Poor,true,true,,,75K–99K
EMP1583,Bob,Johnson,,true,Cloud Tech,Nevada,Active,,114963.34,bob.johnson@example.com,6046419784,true,6046419784,Excellent,false,true,,,100K–124K
EMP1863,Bob,Johnson,35,false,Sales,California,Active,,82174.75,bob.johnson@example.com,7730626041,true,7730626041,Excellent,false,true,,,75K–99K
EMP1021,Bob,Jones,40,false,Cloud Tech,Illinois,Active,,96182.56,bob.jones@example.com,5990048963,true,5990048963,Good,false,true,,,75K–99K
EMP1121,Bob,Jones,25,false,DevOps,Illinois,Active,,61086.47,bob.jones@example.com,9639907675,true,9639907675,Excellent,true,true,,,50K–74K
EMP1668,Bob,Jones,30,false,Admin,Florida,Active,,54465.47,bob.jones@example.com,7045023289,true,7045023289,Excellent,false,true,,,50K–74K
EMP1681,Bob,Jones,30,false,Admin,California,Active,,81874.01,bob.jones@example.com,9775396736,true,9775396736,Good,true,true,,,75K–99K
EMP1692,Bob,Jones,40,false,Admin,Texas,Active,,104843.27,bob.jones@example.com,3626693350,true,3626693350,Excellent,false,true,,,100K–124K
EMP1775,Bob,Jones,25,false,Cloud Tech,Florida,Active,,97046.33,bob.jones@example.com,7102676719,true,7102676719,Good,false,true,,,75K–99K
EMP1911,Bob,Jones,25,false,Admin,California,Active,,60356.78,bob.jones@example.com,2305248087,true,2305248087,Poor,true,true,,,50K–74K
EMP1966,Bob,Jones,35,false,Admin,California,Active,,109082.07,bob.jones@example.com,8811210313,true,8811210313,Good,false,true,,,100K–124K
EMP2010,Bob,Jones,35,false,Sales,Nevada,Active,,71148.27,bob.jones@example.com,8307482072,true,8307482072,Average,false,true,,,50K–74K
EMP1020,Bob,Miller,35,false,HR,New York,Active,,111460.67,bob.miller@example.com,9411800536,true,9411800536,Excellent,true,true,,,100K–124K
EMP1086,Bob,Miller,35,false,DevOps,Illinois,Active,,118869.1,bob.miller@example.com,7725199662,true,7725199662,Excellent,true,true,,,100K–124K
EMP1098,Bob,Miller,,true,DevOps,New York,Active,,101702.33,bob.miller@example.com,3824967182,true,3824967182,Excellent,false,true,,,100K–124K
EMP1409,Bob,Miller,25,false,Sales,Texas,Active,,65102.01,bob.miller@example.com,3136148781,true,3136148781,Average,true,true,,,50K–74K
EMP1456,Bob,Miller,35,false,HR,California,Active,,101264.64,bob.miller@example.com,1955356032,true,1955356032,Average,false,true,,,100K–124K
EMP1948,Bob,Miller,40,false,Finance,Texas,Active,,,bob.miller@example.com,109121721,false,,Excellent,true,true,,,Unknown
EMP1031,Bob,Smith,25,false,DevOps,Illinois,Active,,114845.69,bob.smith@example.com,6591520176,true,6591520176,Excellent,true,true,,,100K–124K
EMP1165,Bob,Smith,35,false,Sales,New York,Active,,69251.12,bob.smith@example.com,4841376814,true,4841376814,Poor,true,true,,,50K–74K
EMP1374,Bob,Smith,30,false,HR,Nevada,Active,,77192.43,bob.smith@example.com,2562531354,true,2562531354,Excellent,false,true,,,75K–99K
EMP1430,Bob,Smith,,true,Cloud Tech,Illinois,Active,,107397.4,bob.smith@example.com,6202232882,true,6202232882,Poor,false,true,,,100K–124K
EMP1510,Bob,Smith,40,false,Admin,Illinois,Active,,97648.84,bob.smith@example.com,1314675360,true,1314675360,Good,false,true,,,75K–99K
EMP1972,Bob,Smith,,true,Finance,Florida,Active,,96346.53,bob.smith@example.com,7876553006,true,7876553006,Average,true,true,,,75K–99K
EMP1340,Bob,Williams,,true,DevOps,California,Active,,80596.18,bob.williams@example.com,2146147682,true,2146147682,Good,false,true,,,75K–99K
EMP1439,Bob,Williams,,true,Sales,California,Active,,119801.3,bob.williams@example.com,7753312660,true,7753312660,Average,true,true,,,100K–124K
EMP1526,Bob,Williams,,true,DevOps,Illinois,Active,,57980.88,bob.williams@example.com,6375791451,true,6375791451,Poor,false,true,,,50K–74K
EMP1619,Bob,Williams,25,false,Finance,Nevada,Active,,,bob.williams@example.com,7494902283,true,7494902283,Good,false,true,,,Unknown
EMP1721,Bob,Williams,,true,DevOps,California,Active,,106583.88,bob.williams@example.com,1494097625,true,1494097625,Good,true,true,,,100K–124K
EMP1811,Bob,Williams,35,false,Sales,Nevada,Active,,71148.27,bob.williams@example.com,3055978244,true,3055978244,Excellent,true,true,,,50K–74K
EMP1910,Bob,Williams,30,false,Finance,Texas,Active,,112856.21,bob.williams@example.com,4281785227,true,4281785227,Poor,false,true,,,100K–124K
EMP1032,Charlie,Brown,40,false,Finance,Florida,Active,,78072.82,charlie.brown@example.com,7490509758,true,7490509758,Average,false,true,,,75K–99K
EMP1159,Charlie,Brown,,true,Cloud Tech,California,Active,,87815.08,charlie.brown@example.com,1286716322,true,1286716322,Average,true,true,,,75K–99K
EMP1479,Charlie,Brown,25,false,Finance,New York,Active,,106592.25,charlie.brown@example.com,4205955656,true,4205955656,Average,true,true,,,100K–124K
EMP1594,Charlie,Brown,25,false,HR,New York,Active,,101787.14,charlie.brown@example.com,5973642479,true,5973642479,Good,false,true,,,100K–124K
EMP1602,Charlie,Brown,,true,Admin,Florida,Active,,89645.01,charlie.brown@example.com,9596604872,true,9596604872,Good,true,true,,,75K–99K
EMP1612,Charlie,Brown,30,false,DevOps,Illinois,Active,,90058.85,charlie.brown@example.com,397739731,false,,Poor,false,true,,,75K–99K
EMP1693,Charlie,Brown,35,false,Cloud Tech,New York,Active,,56398.11,charlie.brown@example.com,3426192371,true,3426192371,Excellent,false,true,,,50K–74K
EMP1918,Charlie,Brown,,true,HR,New York,Active,,99567.78,charlie.brown@example.com,5057303626,true,5057303626,Good,true,true,,,75K–99K
EMP1951,Charlie,Brown,30,false,HR,New York,Active,,118677.67,charlie.brown@example.com,5100462775,true,5100462775,Excellent,false,true,,,100K–124K
EMP1241,Charlie,Davis,30,false,HR,Illinois,Active,,118959.28,charlie.davis@example.com,9839542960,true,9839542960,Average,true,true,,,100K–124K
EMP1297,Charlie,Davis,35,false,Sales,Florida,Active,,64378.1,charlie.davis@example.com,1851327971,true,1851327971,Poor,false,true,,,50K–74K
EMP1438,Charlie,Davis,25,false,Cloud Tech,Texas,Active,,63869.31,charlie.davis@example.com,9961002310,true,9961002310,Good,false,true,,,50K–74K
EMP1448,Charlie,Davis,25,false,Admin,Nevada,Active,,87358.27,charlie.davis@example.com,5124189388,true,5124189388,Poor,false,true,,,75K–99K
EMP1618,Charlie,Davis,40,false,Sales,Illinois,Active,,104870.78,charlie.davis@example.com,5177345474,true,5177345474,Excellent,true,true,,,100K–124K
EMP1891,Charlie,Davis,25,false,DevOps,Illinois,Active,,59555.1,charlie.davis@example.com,4216309000,true,4216309000,Good,true,true,,,50K–74K
EMP1921,Charlie,Davis,35,false,Finance,Illinois,Active,,71109.18,charlie.davis@example.com,3214505765,true,3214505765,Poor,true,true,,,50K–74K
EMP1144,Charlie,Garcia,25,false,DevOps,Nevada,Active,,105202.73,charlie.garcia@example.com,7895677664,true,7895677664,Excellent,true,true,,,100K–124K
EMP1315,Charlie,Garcia,40,false,Admin,California,Active,,95269.41,charlie.garcia@example.com,4120092819,true,4120092819,Good,true,true,,,75K–99K
EMP1791,Charlie,Garcia,,true,Sales,Florida,Active,,58179.12,charlie.garcia@example.com,4289311324,true,4289311324,Excellent,false,true,,,50K–74K
EMP1883,Charlie,Garcia,40,false,Finance,New York,Active,,114587.11,charlie.garcia@example.com,6449639242,true,6449639242,Excellent,true,true,,,100K–124K
EMP1919,Charlie,Garcia,30,false,Admin,Texas,Active,,90216.76,charlie.garcia@example.com,9246320373,true,9246320373,Average,true,true,,,75K–99K
EMP1970,Charlie,Garcia,25,false,Cloud Tech,Nevada,Active,,54776.01,charlie.garcia@example.com,8837505660,true,8837505660,Poor,false,true,,,50K–74K
EMP1009,Charlie,Johnson,,true,DevOps,New York,Active,,76561.88,charlie.johnson@example.com,8156985699,true,8156985699,Excellent,true,true,,,75K–99K
EMP1070,Charlie,Johnson,40,false,Finance,California,Active,,94636.3,charlie.johnson@example.com,7563410855,true,7563410855,Poor,false,true,,,75K–99K
EMP1363,Charlie,Johnson,35,false,Cloud Tech,Florida,Active,,79118.28,charlie.johnson@example.com,7536170616,true,7536170616,Poor,true,true,,,75K–99K
EMP1514,Charlie,Johnson,,true,Admin,Florida,Active,,93013.58,charlie.johnson@example.com,4735047638,true,4735047638,Average,true,true,,,75K–99K
EMP1528,Charlie,Johnson,25,false,Sales,Florida,Active,,115318.7,charlie.johnson@example.com,6978930745,true,6978930745,Excellent,false,true,,,100K–124K
EMP1543,Charlie,Johnson,25,false,Finance,California,Active,,117910.15,charlie.johnson@example.com,3192227050,true,3192227050,Good,false,true,,,100K–124K
EMP1212,Charlie,Jones,35,false,Finance,Illinois,Active,,80623.08,charlie.jones@example.com,5671649327,true,5671649327,Excellent,true,true,,,75K–99K
EMP1468,Charlie,Jones,,true,Finance,New York,Active,,73176.62,charlie.jones@example.com,6018648768,true,6018648768,Excellent,false,true,,,50K–74K
EMP1645,Charlie,Jones,40,false,HR,California,Active,,68835.3,charlie.jones@example.com,3398741131,true,3398741131,Good,true,true,,,50K–74K
EMP1704,Charlie,Jones,30,false,Cloud Tech,New York,Active,,63413.16,charlie.jones@example.com,5146074554,true,5146074554,Good,true,true,,,50K–74K
EMP1770,Charlie,Jones,25,false,Admin,New York,Active,,,charlie.jones@example.com,2759980110,true,2759980110,Excellent,true,true,,,Unknown
EMP1796,Charlie,Jones,25,false,Sales,Nevada,Active,,100719.94,charlie.jones@example.com,5757475832,true,5757475832,Good,false,true,,,100K–124K
EMP1893,Charlie,Jones,,true,Sales,New York,Active,,109988.16,charlie.jones@example.com,9485320894,true,9485320894,Good,true,true,,,100K–124K
EMP2007,Charlie,Jones,35,false,DevOps,Texas,Active,,69146.95,charlie.jones@example.com,6811872332,true,6811872332,Poor,false,true,,,50K–74K
EMP1513,Charlie,Miller,35,false,DevOps,Texas,Active,,69146.95,charlie.miller@example.com,5456676639,true,5456676639,Excellent,false,true,,,50K–74K
EMP1603,Charlie,Miller,40,false,HR,Texas,Active,,84134.95,charlie.miller@example.com,6826911632,true,6826911632,Poor,true,true,,,75K–99K
EMP1869,Charlie,Miller,,true,Admin,Texas,Active,,59911.33,charlie.miller@example.com,8471296179,true,8471296179,Excellent,true,true,,,50K–74K
EMP1896,Charlie,Miller,,true,Cloud Tech,Florida,Active,,119389.15,charlie.miller@example.com,9223410345,true,9223410345,Poor,false,true,,,100K–124K
EMP1331,Charlie,Smith,25,false,Cloud Tech,Illinois,Active,,63435.24,charlie.smith@example.com,4721970545,true,4721970545,Poor,false,true,,,50K–74K
EMP1415,Charlie,Smith,25,false,Cloud Tech,Nevada,Active,,50794.54,charlie.smith@example.com,425488213,false,,Good,true,true,,,50K–74K
EMP1442,Charlie,Smith,35,false,HR,Florida,Active,,92987.46,charlie.smith@example.com,4774332682,true,4774332682,Excellent,true,true,,,75K–99K
EMP1633,Charlie,Smith,40,false,Finance,Texas,Active,,95981.9,charlie.smith@example.com,9749096172,true,9749096172,Average,true,true,,,75K–99K
EMP1732,Charlie,Smith,40,false,Cloud Tech,New York,Active,,76167.46,charlie.smith@example.com,7282709080,true,7282709080,Good,false,true,,,75K–99K
EMP1179,Charlie,Williams,,true,Cloud Tech,Nevada,Active,,81017.91,charlie.williams@example.com,2419562524,true,2419562524,Excellent,true,true,,,75K–99K
EMP1220,Charlie,Williams,25,false,Sales,California,Active,,88085.74,charlie.williams@example.com,5528993159,true,5528993159,Excellent,true,true,,,75K–99K
EMP1455,Charlie,Williams,25,false,Sales,California,Active,,99317.66,charlie.williams@example.com,662668216,false,,Poor,false,true,,,75K–99K
EMP1657,Charlie,Williams,30,false,Finance,Texas,Active,,84971.85,charlie.williams@example.com,7860694095,true,7860694095,Average,false,true,,,75K–99K
EMP1999,Charlie,Williams,25,false,DevOps,Florida,Active,,110170.88,charlie.williams@example.com,8821458413,true,8821458413,Poor,true,true,,,100K–124K
EMP2017,Charlie,Williams,40,false,Finance,New York,Active,,114587.11,charlie.williams@example.com,1261632487,true,1261632487,Average,false,true,,,100K–124K
EMP1295,David,Brown,30,false,DevOps,Illinois,Active,,81272.36,david.brown@example.com,1820916600,true,1820916600,Poor,false,true,,,75K–99K
EMP1395,David,Brown,30,false,DevOps,California,Active,,115290.79,david.brown@example.com,1563268684,true,1563268684,Poor,false,true,,,100K–124K
EMP1719,David,Brown,30,false,HR,California,Active,,77985.88,david.brown@example.com,9079779611,true,9079779611,Average,true,true,,,75K–99K
EMP1956,David,Brown,,true,Sales,Texas,Active,,,david.brown@example.com,5848689992,true,5848689992,Average,true,true,,,Unknown
EMP1011,David,Davis,,true,DevOps,California,Active,,84946.19,david.davis@example.com,1238296576,true,1238296576,Poor,true,true,,,75K–99K
EMP1064,David,Davis,35,false,Admin,New York,Active,,53234.96,david.davis@example.com,3754821455,true,3754821455,Good,false,true,,,50K–74K
EMP1219,David,Davis,30,false,HR,Florida,Active,,74697.12,david.davis@example.com,6904098365,true,6904098365,Average,true,true,,,50K–74K
EMP1283,David,Davis,,true,DevOps,Nevada,Active,,79251.95,david.davis@example.com,9036788126,true,9036788126,Good,false,true,,,75K–99K
EMP1465,David,Davis,30,false,Finance,Texas,Active,,51405.46,david.davis@example.com,4967066702,true,4967066702,Average,true,true,,,50K–74K
EMP1656,David,Davis,25,false,DevOps,California,Active,,80255.31,david.davis@example.com,6477251294,true,6477251294,Average,false,true,,,75K–99K
EMP1328,David,Garcia,25,false,DevOps,New York,Active,,85401.3,david.garcia@example.com,9912971023,true,9912971023,Poor,true,true,,,75K–99K
EMP1475,David,Garcia,35,false,Sales,Texas,Active,,98752.97,david.garcia@example.com,2290310286,true,2290310286,Excellent,false,true,,,75K–99K
EMP1567,David,Garcia,30,false,HR,Florida,Active,,55212.83,david.garcia@example.com,7551254277,true,7551254277,Excellent,true,true,,,50K–74K
EMP1367,David,Johnson,,true,Admin,Illinois,Active,,89189.43,david.johnson@example.com,882351304,false,,Poor,true,true,,,75K–99K
EMP1082,David,Jones,25,false,Sales,New York,Active,,83149.27,david.jones@example.com,8215454469,true,8215454469,Poor,true,true,,,75K–99K
EMP1592,David,Jones,25,false,HR,Illinois,Active,,72245.02,david.jones@example.com,1546602415,true,1546602415,Poor,true,true,,,50K–74K
EMP1646,David,Jones,40,false,DevOps,New York,Active,,66943.96,david.jones@example.com,5797067348,true,5797067348,Poor,true,true,,,50K–74K
EMP1866,David,Jones,25,false,DevOps,Illinois,Active,,77213.73,david.jones@example.com,5816704685,true,5816704685,Good,false,true,,,75K–99K
EMP1051,David,Miller,35,false,Admin,Nevada,Active,,111051.67,david.miller@example.com,7998407677,true,7998407677,Good,false,true,,,100K–124K
EMP1094,David,Miller,40,false,Finance,Illinois,Active,,83326.52,david.miller@example.com,2004615264,true,2004615264,Average,true,true,,,75K–99K
EMP1453,David,Miller,25,false,Sales,Florida,Active,,114252.73,david.miller@example.com,1078356742,true,1078356742,Good,false,true,,,100K–124K
EMP1517,David,Miller,35,false,HR,New York,Active,,85233.55,david.miller@example.com,3583286341,true,3583286341,Good,true,true,,,75K–99K
EMP2015,David,Miller,30,false,HR,California,Active,,,david.miller@example.com,3546212759,true,3546212759,Good,true,true,,,Unknown
EMP1247,David,Smith,35,false,Sales,California,Active,,63741.13,david.smith@example.com,1128497184,true,1128497184,Poor,true,true,,,50K–74K
EMP1403,David,Smith,25,false,Cloud Tech,New York,Active,,101100.64,david.smith@example.com,5024120956,true,5024120956,Average,false,true,,,100K–124K
EMP1426,David,Smith,,true,Admin,New York,Active,,51673.72,david.smith@example.com,8723244078,true,8723244078,Poor,false,true,,,50K–74K
EMP1505,David,Smith,35,false,DevOps,Nevada,Active,,87424.46,david.smith@example.com,32963346,false,,Average,true,true,,,75K–99K
EMP1996,David,Smith,40,false,Admin,Texas,Active,,51939.29,david.smith@example.com,2442607818,true,2442607818,Excellent,true,true,,,50K–74K
EMP1010,David,Williams,35,false,Cloud Tech,New York,Active,,72081.71,david.williams@example.com,2720634590,true,2720634590,Average,false,true,,,50K–74K
EMP1269,David,Williams,25,false,Sales,Florida,Active,,94031.77,david.williams@example.com,4716392822,true,4716392822,Excellent,true,true,,,75K–99K
EMP1368,David,Williams,40,false,DevOps,New York,Active,,96011.55,david.williams@example.com,2312447314,true,2312447314,Average,true,true,,,75K–99K
EMP1882,David,Williams,40,false,DevOps,Nevada,Active,,53714.83,david.williams@example.com,5539354357,true,5539354357,Excellent,true,true,,,50K–74K
EMP1899,David,Williams,30,false,HR,California,Active,,,david.williams@example.com,6855078966,true,6855078966,Excellent,true,true,,,Unknown
EMP1044,Eva,Brown,,true,Finance,California,Active,,94399.91,eva.brown@example.com,5232194167,true,5232194167,Good,true,true,,,75K–99K
EMP1055,Eva,Brown,30,false,Sales,California,Active,,91759.99,eva.brown@example.com,3959724664,true,3959724664,Excellent,true,true,,,75K–99K
EMP1405,Eva,Brown,25,false,DevOps,California,Active,,92484.88,eva.brown@example.com,3882211456,true,3882211456,Good,true,true,,,75K–99K
EMP1674,Eva,Brown,35,false,Finance,Illinois,Active,,56268.78,eva.brown@example.com,3161177686,true,3161177686,Excellent,false,true,,,50K–74K
EMP1773,Eva,Brown,,true,DevOps,Illinois,Active,,62938.8,eva.brown@example.com,4418222617,true,4418222617,Average,false,true,,,50K–74K
EMP1982,Eva,Brown,25,false,HR,New York,Active,,72828.18,eva.brown@example.com,6046154020,true,6046154020,Good,false,true,,,50K–74K
EMP1138,Eva,Davis,40,false,HR,Nevada,Active,,82567.73,eva.davis@example.com,4253042896,true,4253042896,Poor,true,true,,,75K–99K
EMP1188,Eva,Davis,35,false,Admin,California,Active,,85733.83,eva.davis@example.com,2336293448,true,2336293448,Excellent,true,true,,,75K–99K
EMP1190,Eva,Davis,30,false,Admin,Illinois,Active,,103140.67,eva.davis@example.com,7689627065,true,7689627065,Excellent,false,true,,,100K–124K
EMP1345,Eva,Davis,40,false,HR,California,Active,,56110.81,eva.davis@example.com,7279103367,true,7279103367,Good,false,true,,,50K–74K
EMP1349,Eva,Davis,40,false,Admin,Texas,Active,,69317.33,eva.davis@example.com,5289286645,true,5289286645,Good,false,true,,,50K–74K
EMP1650,Eva,Davis,40,false,Admin,Illinois,Active,,86801.48,eva.davis@example.com,4884021556,true,4884021556,Good,false,true,,,75K–99K
EMP1820,Eva,Davis,40,false,DevOps,California,Active,,50568.35,eva.davis@example.com,2218231554,true,2218231554,Good,true,true,,,50K–74K
EMP1843,Eva,Davis,40,false,DevOps,Illinois,Active,,97845.7,eva.davis@example.com,5778255881,true,5778255881,Good,true,true,,,75K–99K
EMP1903,Eva,Davis,,true,Sales,Illinois,Active,,97926.56,eva.davis@example.com,5607676163,true,5607676163,Average,true,true,,,75K–99K
EMP1110,Eva,Garcia,30,false,Cloud Tech,Texas,Active,,71532.83,eva.garcia@example.com,8728399920,true,8728399920,Good,true,true,,,50K–74K
EMP1143,Eva,Garcia,30,false,Sales,California,Active,,63309.24,eva.garcia@example.com,1214785389,true,1214785389,Good,false,true,,,50K–74K
EMP1639,Eva,Garcia,30,false,Finance,Illinois,Active,,55067.02,eva.garcia@example.com,5871493924,true,5871493924,Poor,true,true,,,50K–74K
EMP1708,Eva,Garcia,,true,Cloud Tech,Nevada,Active,,71273.32,eva.garcia@example.com,2634755751,true,2634755751,Good,false,true,,,50K–74K
EMP1566,Eva,Johnson,30,false,Sales,Florida,Active,,99324.03,eva.johnson@example.com,9690515025,true,9690515025,Excellent,false,true,,,75K–99K
EMP1734,Eva,Johnson,25,false,HR,Nevada,Active,,81504.31,eva.johnson@example.com,3929578670,true,3929578670,Excellent,false,true,,,75K–99K
EMP1752,Eva,Johnson,,true,Sales,Illinois,Active,,66252.78,eva.johnson@example.com,1369572789,true,1369572789,Excellent,true,true,,,50K–74K
EMP1916,Eva,Johnson,,true,Admin,California,Active,,68200.52,eva.johnson@example.com,6486287202,true,6486287202,Average,true,true,,,50K–74K
EMP1099,Eva,Jones,25,false,Admin,California,Active,,,eva.jones@example.com,2582386869,true,2582386869,Good,false,true,,,Unknown
